corpus,doc_id,sent_id,eg_id,index,text,text_w_pairs,seq_label,pair_label,context,num_sents
altlex,altlex_gold.tsv,0,0,altlex_altlex_gold.tsv_0_0,"A government affidavit in 2006 stated that the leak caused 558,125 injuries , including 38,478 temporary partial injuries and approximately 3,900 severely and permanently disabling injuries .","<ARG0>A government affidavit in 2006 stated that the leak</ARG0> caused <ARG1>558,125 injuries , including 38,478 temporary partial injuries and approximately 3,900 severely and permanently disabling injuries .</ARG1>",1,1,,1
altlex,altlex_gold.tsv,1,0,altlex_altlex_gold.tsv_1_0,The Indian government and local activists argue that slack management and deferred maintenance created a situation where routine pipe maintenance caused a backflow of water into a MIC tank triggering the disaster .,<ARG0>The Indian government and local activists argue that slack management and deferred maintenance created a situation where routine pipe maintenance</ARG0> caused <ARG1>a backflow of water into a MIC tank triggering the disaster .</ARG1>,1,1,,1
altlex,altlex_gold.tsv,2,0,altlex_altlex_gold.tsv_2_0,The UCIL factory was built in 1969 to produce the pesticide Sevin ( UCC 's brand name for carbaryl ) using methyl isocyanate ( MIC ) as an intermediate .,<ARG1>The UCIL factory was</ARG1> built in <ARG0>1969 to produce the pesticide Sevin ( UCC 's brand name for carbaryl ) using methyl isocyanate ( MIC ) as an intermediate .</ARG0>,0,0,,1
altlex,altlex_gold.tsv,3,0,altlex_altlex_gold.tsv_3_0,"In a panic , he removed his mask , inhaling a large amount of phosgene gas which resulted in his death 72 hours later .","<ARG0>In a panic , he removed his mask , inhaling a large amount of phosgene gas</ARG0> which resulted in <ARG1>his death 72 hours later .</ARG1>",1,1,,1
altlex,altlex_gold.tsv,4,0,altlex_altlex_gold.tsv_4_0,"In August 1982 , a chemical engineer came into contact with liquid MIC , resulting in burns over 30 percent of his body .","<ARG0>In August 1982 , a chemical engineer came into contact with liquid MIC ,</ARG0> resulting in <ARG1>burns over 30 percent of his body .</ARG1>",1,1,,1
altlex,altlex_gold.tsv,5,0,altlex_altlex_gold.tsv_5_0,Medical staff were unprepared for the thousands of casualties .,<ARG1>Medical staff were unprepared</ARG1> for <ARG0>the thousands of casualties .</ARG0>,0,0,,1
altlex,altlex_gold.tsv,6,0,altlex_altlex_gold.tsv_6_0,"170,000 people were treated at hospitals and temporary dispensaries ; 2,000 buffalo , goats , and other animals were collected and buried .","<ARG1>170,000 people were treated at hospitals</ARG1> and <ARG0>temporary dispensaries ; 2,000 buffalo , goats , and other animals were collected and buried .</ARG0>",0,0,,1
altlex,altlex_gold.tsv,7,0,altlex_altlex_gold.tsv_7_0,"Despite safety precautions such as having water carrying helicopters continually overflying the plant , this led to a second mass evacuation from Bhopal .","<ARG0>Despite safety precautions such as having water carrying helicopters continually overflying the plant , this</ARG0> led to <ARG1>a second mass evacuation from Bhopal .</ARG1>",1,1,,1
altlex,altlex_gold.tsv,8,0,altlex_altlex_gold.tsv_8_0,This move blocked plaintiffs ' motions for class certification and claims for property damages and remediation .,<ARG1>This move blocked plaintiffs ' motions for class certification</ARG1> and <ARG0>claims for property damages and remediation .</ARG0>,0,0,,1
altlex,altlex_gold.tsv,9,0,altlex_altlex_gold.tsv_9_0,"A government affidavit in 2006 stated the leak caused 558,125 injuries including 38,478 temporary partial injuries and approximately 3,900 severely and permanently disabling injuries .","<ARG1>A government affidavit in 2006 stated the leak</ARG1> caused <ARG0>558,125 injuries including 38,478 temporary partial injuries and approximately 3,900 severely and permanently disabling injuries .</ARG0>",1,1,,1
altlex,altlex_gold.tsv,10,0,altlex_altlex_gold.tsv_10_0,"152 of the planned 200 work sheds were built and in 2000 , 16 were partially functioning .","<ARG1>152 of the planned 200 work sheds were built</ARG1> and in <ARG0>2000 , 16 were partially functioning .</ARG0>",0,0,,1
altlex,altlex_gold.tsv,11,0,altlex_altlex_gold.tsv_11_0,"The government also planned 2,486 flats in two - and four-story buildings in what is called the `` widow 's colony '' outside Bhopal .","<ARG1>The government also planned 2,486 flats in two -</ARG1> and <ARG0>four-story buildings in what is called the `` widow 's colony '' outside Bhopal .</ARG0>",0,0,,1
altlex,altlex_gold.tsv,12,0,altlex_altlex_gold.tsv_12_0,"The final compensation , including interim relief for personal injury was for the majority .","<ARG1>The final compensation , including interim relief</ARG1> for <ARG0>personal injury was for the majority .</ARG0>",0,0,,1
altlex,altlex_gold.tsv,13,0,altlex_altlex_gold.tsv_13_0,"The `` Corporate Negligence '' point of view argues that the disaster was caused by a potent combination of under-maintained and decaying facilities , a weak attitude towards safety , and an undertrained workforce , culminating in worker actions that inadvertently enabled water to penetrate the MIC tanks in the absence of properly working safeguards .","<ARG1>The `` Corporate Negligence '' point of view argues that the disaster was</ARG1> caused by <ARG0>a potent combination of under-maintained and decaying facilities , a weak attitude towards safety , and an undertrained workforce , culminating in worker actions that inadvertently enabled water to penetrate the MIC tanks in the absence of properly working safeguards .</ARG0>",1,1,,1
altlex,altlex_gold.tsv,14,0,altlex_altlex_gold.tsv_14_0,"Factors cited include the filling of the MIC tanks beyond recommended levels , poor maintenance after the plant ceased MIC production at the end of 1984 , allowing several safety systems to be inoperable due to poor maintenance , and switching off safety systems to save money -- including the MIC tank refrigeration system which could have mitigated the disaster severity , and non-existent catastrophe plans .","<ARG1>Factors cited include the filling of the MIC tanks beyond recommended levels , poor maintenance after the plant ceased MIC production at the end of 1984 , allowing several safety systems to be inoperable</ARG1> due to <ARG0>poor maintenance , and switching off safety systems to save money -- including the MIC tank refrigeration system which could have mitigated the disaster severity , and non-existent catastrophe plans .</ARG0>",1,1,,1
altlex,altlex_gold.tsv,15,0,altlex_altlex_gold.tsv_15_0,Kurzman argues that `` cuts ... meant less stringent quality control and thus looser safety rules .,<ARG1>Kurzman argues that `` cuts ... meant less stringent quality control</ARG1> and <ARG0>thus looser safety rules .</ARG0>,0,0,,1
altlex,altlex_gold.tsv,16,0,altlex_altlex_gold.tsv_16_0,The factory was not well equipped to handle the gas created by the sudden addition of water to the MIC tank .,<ARG1>The factory was not well equipped to handle the gas</ARG1> created by <ARG0>the sudden addition of water to the MIC tank .</ARG0>,1,1,,1
altlex,altlex_gold.tsv,17,0,altlex_altlex_gold.tsv_17_0,"In addition to it , carbon steel valves were used at the factory , even though they were known to corrode when exposed to acid .","<ARG1>In addition to it , carbon steel valves were used at the factory , even though they were known to corrode</ARG1> when <ARG0>exposed to acid .</ARG0>",1,1,,1
altlex,altlex_gold.tsv,18,0,altlex_altlex_gold.tsv_18_0,"Now owned by Dow Chemical Company , Union Carbide maintains a website dedicated to the tragedy and claims that the incident was the result of sabotage , stating that sufficient safety systems were in place and operative to prevent the intrusion of water .","<ARG1>Now owned by Dow Chemical Company , Union Carbide maintains a website dedicated to the tragedy and claims that the incident was</ARG1> the result of <ARG0>sabotage , stating that sufficient safety systems were in place and operative to prevent the intrusion of water .</ARG0>",1,1,,1
altlex,altlex_gold.tsv,19,0,altlex_altlex_gold.tsv_19_0,"This water was diverted due to a combination of improper maintenance , leaking and clogging , and eventually ended up in the MIC storage tank .","<ARG1>This water was diverted</ARG1> due to <ARG0>a combination of improper maintenance , leaking and clogging , and eventually ended up in the MIC storage tank .</ARG0>",1,1,,1
altlex,altlex_gold.tsv,20,0,altlex_altlex_gold.tsv_20_0,"The corporation denied the claim that the valves on the tank were malfunctioning , and claimed that the documented evidence gathered after the incident showed that the valve close to the plant 's water-washing operation was closed and was leak-tight .","<ARG1>The corporation denied the claim that the valves on the tank were malfunctioning ,</ARG1> and <ARG0>claimed that the documented evidence gathered after the incident showed that the valve close to the plant 's water-washing operation was closed and was leak-tight .</ARG0>",0,0,,1
altlex,altlex_gold.tsv,21,0,altlex_altlex_gold.tsv_21_0,"They also developed a Responsible Care system with other members of the chemical industry as a response to the Bhopal crisis , which was designed to help prevent such an event in the future .","<ARG1>They also developed a Responsible Care system with other members of the chemical industry as a</ARG1> response to <ARG0>the Bhopal crisis , which was designed to help prevent such an event in the future .</ARG0>",1,1,,1
altlex,altlex_gold.tsv,22,0,altlex_altlex_gold.tsv_22_0,Contamination at the site and surrounding area was not caused by the gas leakage .,<ARG1>Contamination at the site and surrounding area was not</ARG1> caused by <ARG0>the gas leakage .</ARG0>,1,1,,1
altlex,altlex_gold.tsv,23,0,altlex_altlex_gold.tsv_23_0,UCC 's laboratory tests in 1989 revealed that soil and water samples collected from near the factory were toxic to fish .,<ARG1>UCC 's laboratory tests in 1989 revealed that soil</ARG1> and <ARG0>water samples collected from near the factory were toxic to fish .</ARG0>,0,0,,1
altlex,altlex_gold.tsv,24,0,altlex_altlex_gold.tsv_24_0,"In 2002 , The Yes Men issued a fake press release explaining why Dow refused to take responsibility for the disaster and started up a website , at `` DowEthics.com '' , designed to look like the real Dow website , but containing hoax information .","<ARG1>In 2002 , The Yes Men issued a fake press release explaining why Dow</ARG1> refused <ARG0>to take responsibility for the disaster and started up a website , at `` DowEthics.com '' , designed to look like the real Dow website , but containing hoax information .</ARG0>",0,0,,1
altlex,altlex_gold.tsv,25,0,altlex_altlex_gold.tsv_25_0,"This caused a chemical reaction which resulted in the buildup of much Carbon dioxide , among other things .","<ARG0>This caused a chemical reaction</ARG0> which resulted in <ARG1>the buildup of much Carbon dioxide , among other things .</ARG1>",1,1,,1
altlex,altlex_gold.tsv,26,0,altlex_altlex_gold.tsv_26_0,"Between 3,500 and 25,000 people died as a result of contact with the cloud of toxic gas .","<ARG0>Between 3,500 and 25,000 people died</ARG0> as a result of <ARG1>contact with the cloud of toxic gas .</ARG1>",1,1,,1
altlex,altlex_gold.tsv,27,0,altlex_altlex_gold.tsv_27_0,"The inter-plate relative motion caused large scale structural deformation inside the Asian continent , resulting in a thinning crust of the Qinghai-Tibet Plateau , the uplift of its landscape and an eastward extrude .","<ARG0>The inter-plate relative motion caused large scale structural deformation inside the Asian continent ,</ARG0> resulting in <ARG1>a thinning crust of the Qinghai-Tibet Plateau , the uplift of its landscape and an eastward extrude .</ARG1>",1,1,,1
