corpus,doc_id,sent_id,eg_id,index,text,text_w_pairs,seq_label,pair_label,context,num_sents
because,CHRG-110hhrg44900-1.ann,5,0,because_CHRG-110hhrg44900-1.ann_5_0,"We have gotten the agreement of the Chairman and the Secretary, preliminary to any opening statements, to stay until 1 p.m. We will probably have some votes, so we will maximize our time.","We have gotten the agreement of the Chairman and the Secretary, preliminary to any opening statements, to stay until 1 p.m. <ARG0>We will probably have some votes</ARG0>, so <ARG1>we will maximize our time</ARG1>.",1,1,,1
because,CHRG-110hhrg44900-1.ann,13,0,because_CHRG-110hhrg44900-1.ann_13_0,Members want to get a new context because the experience regarding Bear Stearns is clearly the context in which much of this hearing is and much of what we will be talking about is what happens if that should occur.,<ARG1>Members want to get a new context</ARG1> because <ARG0>the experience regarding Bear Stearns is clearly the context in which much of this hearing is and much of what we will be talking about is what happens if that should occur</ARG0>.,1,1,,1
because,CHRG-110hhrg44900-1.ann,15,0,because_CHRG-110hhrg44900-1.ann_15_0,"Given the importance of this, and given the interest of members in speaking, we are going to hold pretty firmly to the 5-minute rule.","Given <ARG0>the importance of this</ARG0>, and given the interest of members in speaking, <ARG1>we are going to hold pretty firmly to the 5-minute rule</ARG1>.",1,1,,1
because,CHRG-110hhrg44900-1.ann,25,0,because_CHRG-110hhrg44900-1.ann_25_0,"Where there was a strong argument as recently as November of 2006 that we had been over-regulating the financial system, I believe the evidence is now clear that we are in one of the most serious economic troubles that we have seen recently, in part because of an inadequacy of regulation.","Where there was a strong argument as recently as November of 2006 that we had been over-regulating the financial system, I believe the evidence is now clear that <ARG1>we are in one of the most serious economic troubles that we have seen recently</ARG1>, in part because of <ARG0>an inadequacy of regulation</ARG0>.",1,1,,1
because,CHRG-110hhrg44900-1.ann,38,0,because_CHRG-110hhrg44900-1.ann_38_0,"Something that simple causes problems in subprime, and it has caused problems elsewhere.","Something that simple causes problems in subprime, and <ARG0>it</ARG0> has caused <ARG1>problems</ARG1> elsewhere.",1,1,,1
because,CHRG-110hhrg44900-1.ann,38,1,because_CHRG-110hhrg44900-1.ann_38_1,"Something that simple causes problems in subprime, and it has caused problems elsewhere.","<ARG0>Something that simple</ARG0> causes <ARG1>problems</ARG1> in subprime, and it has caused problems elsewhere.",1,1,,1
because,CHRG-110hhrg44900-1.ann,40,0,because_CHRG-110hhrg44900-1.ann_40_0,"And, what we now have is a contagion, because people who bought loans in various forms that they shouldn't have bought are now resistant to buying things that they should buy.","And, <ARG1>what we now have is a contagion</ARG1>, because <ARG0>people who bought loans in various forms that they shouldn't have bought are now resistant to buying things that they should buy</ARG0>.",1,1,,1
because,CHRG-110hhrg44900-1.ann,41,0,because_CHRG-110hhrg44900-1.ann_41_0,"That is why I believe regulation properly done, regulation of risk that is too unconstrained today, because the various risk management techniques that were supposed to replace the lender-borrower relationship have not been successful.","<ARG0>That</ARG0> is why <ARG1>I believe regulation properly done, regulation of risk that is too unconstrained today, because the various risk management techniques that were supposed to replace the lender-borrower relationship have not been successful</ARG1>.",1,1,,1
because,CHRG-110hhrg44900-1.ann,44,0,because_CHRG-110hhrg44900-1.ann_44_0,"If properly done, a market sensitive regulatory authority not only prevents some of the problems, but is pro-market, because we have investors now who are unwilling to invest even in things they should.","If properly done, <ARG0>a market sensitive regulatory authority</ARG0> not only prevents <ARG1>some of the problems</ARG1>, but is pro-market, because we have investors now who are unwilling to invest even in things they should.",1,1,,1
because,CHRG-110hhrg44900-1.ann,44,1,because_CHRG-110hhrg44900-1.ann_44_1,"If properly done, a market sensitive regulatory authority not only prevents some of the problems, but is pro-market, because we have investors now who are unwilling to invest even in things they should.","If properly done, <ARG1>a market sensitive regulatory authority not only prevents some of the problems, but is pro-market</ARG1>, because <ARG0>we have investors now who are unwilling to invest even in things they should</ARG0>.",1,1,,1
